time;ay (m/s^2)
6157584;0.1041
6165308;0.1107
6173559;0.0935
618148;0.0932
6189282;0.0687
6197471;0.0825
6205403;0.1105
6213324;0.1049
6222047;0.1065
6229723;0.1079
623709;0.0851
6245826;0.0763
6253473;0.0766
6261844;0.0382
6269444;0.0352
6277684;0.0127
6286409;0.0501
6293604;0.0440
6306362;0.0445
6309321;0.0324
6319528;0.0057
6326029;0.0006
6335828;-0.0018
6341766;-0.0034
6349648;0.0364
6358213;0.0407
6365823;0.0407
6374057;0.0196
6381132;0.0442
638952;0.0401
6397558;0.0406
6405522;0.0385
6414018;0.0481
6421659;0.0215
6429411;0.0186
6437511;-0.0014
6446167;0.0266
6458755;0.0380
6461605;0.0661
6470555;0.0656
6477105;0.0389
6490328;0.0412
6493618;0.0528
6503621;0.0167
6509779;-0.0072
6519669;0.0051
652483;-0.0111
6535287;-0.0035
6541617;-0.0129
6549362;-0.0176
6558184;-0.0058
656566;-0.0064
6573985;-0.0003
6581814;-0.0036
6589313;0.0381
659765;0.0648
6605874;0.0649
6613724;0.1295
6620968;0.1301
6629804;0.0856
6637861;0.0440
6645788;0.0100
6653386;-0.0002
6661578;0.0035
6669373;-0.0052
6677628;-0.0237
6686078;-0.0469
6693499;-0.0696
6703037;-0.0584
6709911;-0.0659
6722145;-0.0493
6725556;-0.0085
673658;0.0637
6741386;0.0935
6749532;0.1215
6757983;0.1263
6765431;0.1385
6773954;0.1388
6781737;0.1025
6789529;0.1107
6797917;0.1154
6806544;0.1095
6812749;0.0837
6821337;0.0693
6829801;0.0212
6837538;0.0065
684529;-0.0008
6854406;-0.0271
686113;-0.0339
6870082;-0.0788
6877807;-0.0684
6886283;-0.0647
6893958;-0.0726
690299;-0.0496
690899;-0.0366
6922381;-0.0165
692552;-0.0089
6935743;-0.0113
6941656;0.0123
6949738;0.0407
6957202;0.0288
696553;0.0316
6973858;0.0774
6981121;0.0754
698993;0.0757
6998029;0.0594
7004942;0.0382
70141;0.0436
7021596;0.0252
7029401;0.0171
7037509;0.0242
7045441;0.0012
7054699;0.0295
7062365;0.0011
7069271;-0.0075
7078026;-0.0210
7086336;0.0131
7094242;0.0299
7103432;0.0460
7109898;0.0373
7122307;0.0399
7125701;0.0536
7133346;0.0476
714175;0.0366
7149142;0.0302
7158125;0.0503
7165788;0.0516
7173978;0.0534
7181426;0.0532
718977;0.0391
7196951;0.0254
7205795;-0.0047
7213242;-0.0298
7221421;-0.0192
7229628;-0.0231
7237404;-0.0083
7244949;0.0349
7253325;0.0490
7261674;0.0341
7269835;0.0527
7277868;0.0542
7286118;0.0704
7292756;0.0915
7302924;0.0963
731018;0.0895
7322652;0.0852
7325589;0.0501
733634;0.0342
7341134;0.0113
7349653;0.0146
735814;-0.0109
7365605;0.0231
7373817;0.0568
7381522;0.0474
7389034;0.0643
7397851;0.0740
7405666;0.1051
7413826;0.0957
742158;0.1127
7429502;0.1060
7436954;0.0801
7445632;0.0873
745334;0.0560
7461253;0.0364
7470195;0.0234
7477879;0.0365
7488072;-0.0151
7493932;-0.0329
7503794;-0.0697
7509679;-0.1040
752331;-0.1026
752549;-0.1012
7533125;-0.0713
7541726;-0.0077
7549857;0.0325
7558435;0.0880
7565778;0.1258
757443;0.1575
7580747;0.1631
7589809;0.1994
759788;0.2012
7605572;0.1974
7613778;0.1879
7621455;0.1850
7629258;0.1528
7637532;0.1250
7645807;0.0946
7653727;0.0422
7661435;0.0399
7670163;0.0014
7676838;-0.0278
7687604;-0.0162
7693523;-0.0261
7706587;0.0000
7709576;-0.0190
7720375;-0.0092
7725771;-0.0112
7733328;0.0008
7741798;0.0128
7749805;0.0224
7758544;0.0324
7765673;0.0740
7773624;0.0753
7781676;0.0724
7789518;0.0868
7797524;0.0799
7806603;0.0634
7813961;0.0635
7820794;0.0851
7829711;0.0968
7837343;0.0991
7845342;0.0775
7853968;0.0680
7862049;0.0346
7870699;0.0323
7877953;0.0158
7886946;0.0136
7893763;0.0230
7903829;0.0347
7909425;0.0537
7917046;0.0655
7925735;0.0320
7933497;0.0486
7941872;0.0289
7949242;0.0473
7958889;0.0269
7964823;0.0421
7973366;0.0476
7981562;0.0483
7989357;0.0228
7997518;0.0548
8005675;0.0775
8012926;0.0575
8021543;0.0618
8029322;0.0714
8037335;0.0674
8045565;0.0878
8054504;0.0557
8061398;0.0501
8070422;0.0585
8077662;0.0308
8086681;0.0434
8093798;0.0320
8103715;0.0417
8108971;0.0626
8123753;0.0496
8125443;0.0530
813345;0.0848
8141774;0.0973
8149576;0.0472
8157662;0.0761
8165928;0.0711
8173502;0.0708
8182703;0.0561
818952;0.0535
8197226;0.0462
8206744;0.0486
8213521;0.0347
8221266;0.0235
8229727;0.0223
8237571;-0.0025
8245835;0.0087
8253197;-0.0016
8261342;0.0074
8270664;0.0209
8277562;0.0776
828702;0.1154
8294046;0.1274
8305156;0.0869
8309251;0.0707
8321684;0.0933
8325308;0.0513
8333916;0.0257
8341756;0.0380
834929;0.0214
8358026;-0.0120
8365417;-0.0741
8373811;-0.1025
8381648;-0.1263
8389522;-0.1384
8396762;-0.1193
8405448;-0.0693
8413277;-0.0118
8421295;0.0363
8429847;0.0800
8437955;0.1004
8445454;0.1307
8454171;0.1636
8461805;0.1656
847036;0.1886
8477797;0.2156
848814;0.2179
8494947;0.2174
8506039;0.1852
8509577;0.1431
8524593;0.1011
8525262;0.0739
8533556;0.0350
8540644;0.0227
8549366;-0.0252
8557586;-0.0345
8565603;-0.0221
8573184;-0.0432
8581859;-0.0595
8592856;-0.0588
8597143;-0.0460
8605053;-0.0087
861306;0.0192
8621275;0.0597
8630346;0.0812
8636608;0.0936
8645517;0.0732
865323;0.0315
8661227;0.0092
8669588;-0.0514
8677967;-0.0765
8686988;-0.0637
8693776;-0.0377
8704319;-0.0147
8709112;-0.0349
8717378;-0.1741
8725964;-0.2404
8733159;-0.2766
8741622;-0.3702
8749412;-0.4321
8758447;-0.5253
8765951;-0.5813
87747;-0.6936
8781536;-0.7103
8789495;-0.7915
879741;-0.9421
880649;-10596.0000
8813955;-12052.0000
8821525;-14189.0000
8828793;-15695.0000
88374;-16104.0000
8845493;-15984.0000
8855388;-15067.0000
8861842;-13614.0000
8871298;-12203.0000
8877445;-10829.0000
8887333;-10155.0000
8893458;-0.9219
8904037;-0.8518
8909432;-0.8442
8923457;-0.8727
8927131;-0.9601
8933816;-10916.0000
8942185;-11366.0000
8949455;-11156.0000
8957783;-10515.0000
8965701;-0.8449
8972756;-0.5935
8981759;-0.4051
8989378;-0.3203
8997618;-0.3553
900723;-0.6058
9014243;-0.8658
9021043;-12109.0000
9029346;-15178.0000
903734;-1733.0000
9045844;-19305.0000
905442;-18197.0000
9061514;-15062.0000
9070883;-11781.0000
9077514;-0.9272
9087363;-0.5637
9093322;-0.1778
9101483;0.1320
911008;0.4632
9117009;0.4307
9125632;0.2954
9133185;0.0388
9141951;-0.0325
9149578;0.0170
9157738;0.1641
9165243;0.4876
9173339;0.6226
9181742;0.7208
9189415;0.7975
9197448;0.6469
9207189;0.4628
9213374;0.1445
9221711;-0.1400
9229906;-0.1800
9237234;0.0334
9245624;0.3678
9254156;0.8410
9261163;12986.0000
9270922;14251.0000
9277165;14235.0000
9288259;14298.0000
929352;11792.0000
9304069;0.9739
9308674;0.8498
9317696;0.4590
9325359;0.1194
9333192;-0.3092
9341525;-0.8145
934928;-10367.0000
9357024;-0.8507
9365259;-0.5294
9373245;-0.0495
9381222;0.3436
9389432;0.8782
9398059;11669.0000
9410336;14474.0000
9413373;16819.0000
9421322;16022.0000
9429545;15495.0000
9439155;16665.0000
9445525;15821.0000
9453509;14122.0000
9461713;15239.0000
9470789;13064.0000
9477326;15028.0000
9487353;23094.0000
9495059;28514.0000
9501299;34279.0000
9512342;35058.0000
9519682;29618.0000
9528458;24609.0000
9533238;19515.0000
9541639;10813.0000
9549629;14084.0000
955774;20681.0000
9565279;2539.0000
9573213;23818.0000
958123;12316.0000
9589648;-0.2629
9596746;-22486.0000
9606218;-25824.0000
9613579;-0.4846
9621538;26458.0000
9629387;56994.0000
963737;71242.0000
9645209;66389.0000
9654222;46543.0000
9661524;19757.0000
9671122;-0.6999
9678116;-11476.0000
9687692;0.4410
9693537;11156.0000
9701505;-0.9170
9709272;-43272.0000
9717707;-90563.0000
9725924;-133456.0000
9734141;-148946.0000
9740647;-132469.0000
9749657;-10169.0000
9757358;-94761.0000
9765685;-87398.0000
977323;-85523.0000
9781567;-85794.0000
9788645;-83923.0000
979757;-75042.0000
9808568;-64044.0000
981337;-45921.0000
9821303;-26245.0000
9829144;-22647.0000
984142;-16018.0000
9845616;-0.7464
9854369;0.4594
986109;16329.0000
9873449;11693.0000
9877566;-16484.0000
9885106;-51233.0000
9894088;-91514.0000
9901597;-118622.0000
9913446;-130676.0000
9918138;-123891.0000
99258;-98264.0000
9932797;-71912.0000
9941704;-44619.0000
9949158;-2.6900
9957543;-20278.0000
9965703;-18938.0000
9974968;-20579.0000
9981949;-22756.0000
9989381;-26478.0000
9997712;-28356.0000
10008723;-2991.0000
10014144;-25156.0000
10021585;-18891.0000
10029178;-15652.0000
10038364;-15825.0000
1004521;-1.7900
10054699;-19871.0000
10061126;-24605.0000
10074183;-2356.0000
10076839;-24161.0000
10087189;-26768.0000
10093472;-29424.0000
10104188;-29213.0000
10109368;-29595.0000
10117107;-24943.0000
10124588;-19927.0000
1013371;-18766.0000
10141363;-16221.0000
10149282;-10927.0000
10158205;-10655.0000
10165804;-0.7703
1017467;-0.0531
1018192;-0.0282
10189271;0.1956
10197466;15308.0000
10207596;37344.0000
10214376;30111.0000
10222231;-0.5694
10229275;-47213.0000
10238171;-86778.0000
10245913;-6652.0000
10254875;-0.8308
10261807;65771.0000
10271444;58296.0000
10277281;98401.0000
10285866;91961.0000
10293488;65503.0000
1030168;34897.0000
10309617;0.3122
10317371;-0.6480
10326038;-0.1803
10333617;0.9270
10341815;18926.0000
10349659;19526.0000
10358172;20386.0000
10365298;22058.0000
1037343;19972.0000
10381332;11566.0000
10389228;0.0003
10397627;-0.9028
10407189;-16953.0000
10412979;-21149.0000
10421318;-20297.0000
10429425;-19953.0000
10438411;-20393.0000
10445674;-19506.0000
10456;-15058.0000
10460826;-0.8418
10471853;-0.3468
10477548;0.1371
10485357;0.3385
10493818;0.4028
10501467;0.4704
10509307;0.3828
10517652;0.5099
10525694;0.3791
10533302;0.1138
10541344;-0.2535
10549667;-0.7078
10556722;-11771.0000
10565448;-12851.0000
10573278;-12955.0000
10581377;-12749.0000
10589249;-10539.0000
10597366;-0.8384
10606114;-0.7876
10613252;-0.8386
10621099;-10366.0000
10629778;-13082.0000
10638076;-15287.0000
10646063;-1424.0000
10655075;-13949.0000
10661255;-15486.0000
10670852;-17645.0000
10677516;-19631.0000
10685516;-20954.0000
1069404;-2282.0000
10700638;-22983.0000
10709848;-2387.0000
10717711;-25012.0000
10725383;-2.2700
10733436;-19285.0000
10741687;-13673.0000
10748595;-0.6905
10757287;-0.0542
10765614;0.4287
10773423;0.6319
10781622;0.6773
1078934;0.6580
10797402;0.5439
10808498;0.4003
10813868;0.1822
10822051;-0.0099
10829724;-0.2142
10838164;-0.4323
10845468;-0.7349
10855426;-0.8563
10861985;-0.6669
10871795;-0.4993
10877522;-0.1656
10885328;-0.0968
10893555;-0.1817
10901673;-0.1726
1091025;-0.1566
10917748;-0.0867
10926;0.0738
10934552;0.1684
10940832;0.2067
10949902;0.2038
10957458;0.1925
10965815;0.1549
109733;0.1465
10981472;0.1728
1098875;0.0803
10997371;-0.1494
1100755;-0.3039
11013379;-0.3721
11022148;-0.4620
11029656;-0.3305
1103831;-0.1491
11045579;0.0938
11055307;0.3358
11061728;0.4052
11071897;0.3653
11077781;-0.0389
11084722;-0.2467
1109345;-0.3541
1110175;-0.1601
11109847;0.1509
11117846;0.4867
11126102;0.8402
11133745;0.8737
11141725;0.8564
11149208;0.7395
11157314;0.4406
11165627;-0.2925
11174581;-0.8570
11180833;-10541.0000
11189154;-10065.0000
11197302;-0.6602
11207751;-0.2869
11213832;0.0344
11222392;0.2531
11229406;0.2911
11238594;0.2500
11245446;0.0465
11255349;-0.1375
11261467;-0.1282
11271575;-0.0495
11277191;0.0655
11285659;0.2602
11293886;0.3421
1130146;0.4275
11310433;0.5005
11317632;0.5715
11325569;0.5663
11333605;0.5092
11341958;0.3082
1134988;0.0235
11357497;-0.0434
1136575;-0.0545
11372715;0.0935
11381517;0.3161
11389182;0.4441
11397298;0.3245
11405923;0.1074
11413735;-0.1389
11424838;-0.2575
11429794;-0.1751
11438865;-0.1714
11445412;0.0786
11455587;0.3157
11461266;0.3946
11468663;0.8751
11477537;14898.0000
11485755;0.7185
11493968;-0.3660
11501775;-0.7848
11510005;-12346.0000
11516789;-1027.0000
11525786;-0.6227
11533381;-0.4751
115423;-0.3024
11549378;-0.1404
11557773;0.1034
11564903;0.2972
11573279;0.5035
11581078;0.5831
1158962;0.5396
11597412;0.3732
11605547;0.1523
11613227;0.0042
11624394;-0.0239
11630162;0.0864
11638917;0.3518
1164547;0.3433
11655152;0.3005
11660924;0.2453
11669585;0.2376
11677319;0.3411
11685672;0.4698
11693883;0.3952
11701781;0.1071
11708632;-0.2611
11717605;-0.4869
11725636;-0.5009
11733621;-0.4534
11741444;-0.3847
1174955;-0.2997
11756693;-0.1016
11765771;0.0679
11773288;0.2981
11781856;0.3205
11789086;0.1761
1179749;0.0113
11804729;-0.1519
11812997;0.0434
1182102;0.1481
11829162;0.3039
11840859;0.2400
11845272;0.2812
11852907;0.5306
11861227;0.5593
11869255;0.5809
1187706;0.4784
11885104;0.3522
11894353;0.2603
11900514;0.1989
